Name,Team,Number,Position,Age,Salary
Avery Bradley,Boston Celtics,0,PG,25,7730337
Jae Crowder,Boston Celtics,99,SF,25,6796117
John Holland,Boston Celtics,30,SG,27,
R.J. Hunter,Boston Celtics,28,SG,22,1148640
Jonas Jerebko,Boston Celtics,8,,29,5000000
Amir Johnson,Boston Celtics,90,PF,29,12000000
Jordan Mickey,,55,PF,21,1170960
Kelly Olynyk,Boston Celtics,,C,25,2165160
Terry Rozier,Boston Celtics,12,PG,22,1824360
Marcus Smart,Boston Celtics,36,PG,22,3431040
Jared Sullinger,Boston Celtics,7,C,24,2569260
Isaiah Thomas,Boston Celtics,4,PG,,6912869
Evan Turner,Boston Celtics,11,SG,27,3425510
James Young,Boston Celtics,13,SG,20,1749840
Tyler Zeller,,44,C,26,2616975
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,3425510
Markel Brown,Brooklyn Nets,22,SG,24,845059
Wayne Ellington,Brooklyn Nets,21,SG,28,
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,1335480
Jarrett Jack,Brooklyn Nets,,PG,32,6300000
Sergey Karasev,Brooklyn Nets,10,SG,22,1599840
Sean Kilpatrick,Brooklyn Nets,6,SG,,134215
Shane Larkin,Brooklyn Nets,0,PG,23,1500000
Brook Lopez,,11,C,28,19689000
Chris McCullough,Brooklyn Nets,1,PF,21,1140240
Willie Reed,Brooklyn Nets,33,PF,26,947276
Thomas Robinson,Brooklyn Nets,41,PF,25,981348
Henry Sims,Brooklyn Nets,14,C,26,947276
Donald Sloan,Brooklyn Nets,15,PG,28,947276
Thaddeus Young,Brooklyn Nets,30,,27,11235955
Arron Afflalo,New York Knicks,4,SG,30,8000000
Lou Amundson,New York Knicks,17,PF,33,1635476
Thanasis Antetokounmpo,New York Knicks,43,SF,23,30888
Carmelo Anthony,New York Knicks,7,SF,32,22875000
Jose Calderon,New York Knicks,3,PG,34,7402812
Cleanthony Early,New York Knicks,11,SF,25,845059
Langston Galloway,New York Knicks,2,SG,24,845059
Jerian Grant,New York Knicks,13,PG,23,1572360
Robin Lopez,New York Knicks,8,C,28,12650000
Kyle O'Quinn,New York Knicks,9,PF,26,3750000
Kristaps Porzingis,New York Knicks,6,PF,20,4131720
Kevin Seraphin,New York Knicks,1,C,26,2814000
Lance Thomas,New York Knicks,42,SF,28,1636842
Sasha Vujacic,New York Knicks,18,SG,32,947276
Derrick Williams,New York Knicks,23,PF,25,4000000
Tony Wroten,New York Knicks,5,SG,23,167406
Elton Brand,Philadelphia 76ers,42,PF,37,
Isaiah Canaan,Philadelphia 76ers,0,PG,25,947276
Robert Covington,Philadelphia 76ers,33,SF,25,1000000
Joel Embiid,Philadelphia 76ers,21,C,22,4626960
Jerami Grant,Philadelphia 76ers,39,SF,22,845059
Richaun Holmes,Philadelphia 76ers,22,PF,22,1074169
Carl Landry,Philadelphia 76ers,7,PF,32,6500000
Kendall Marshall,Philadelphia 76ers,5,PG,24,2144772
T.J. McConnell,Philadelphia 76ers,12,PG,24,525093
Nerlens Noel,Philadelphia 76ers,4,PF,22,3457800
Jahlil Okafor,Philadelphia 76ers,8,C,20,4582680
Ish Smith,Philadelphia 76ers,1,PG,27,947276
Nik Stauskas,Philadelphia 76ers,11,SG,22,2869440
Hollis Thompson,Philadelphia 76ers,31,SG,25,947276
Christian Wood,Philadelphia 76ers,35,PF,20,525093
Bismack Biyombo,Toronto Raptors,8,C,23,2814000
Bruno Caboclo,Toronto Raptors,20,SF,20,1524000
DeMarre Carroll,Toronto Raptors,5,SF,29,13600000
DeMar DeRozan,Toronto Raptors,10,SG,26,10050000
James Johnson,Toronto Raptors,3,PF,29,2500000
Cory Joseph,Toronto Raptors,6,PG,24,7000000
Kyle Lowry,Toronto Raptors,7,PG,30,12000000
Lucas Nogueira,Toronto Raptors,92,C,23,1842000
Patrick Patterson,Toronto Raptors,54,PF,27,6268675
Norman Powell,Toronto Raptors,24,SG,23,650000
Terrence Ross,Toronto Raptors,31,SF,25,3553917
Luis Scola,Toronto Raptors,4,PF,36,2900000
Jason Thompson,Toronto Raptors,1,PF,29,245177
Jonas Valanciunas,Toronto Raptors,17,C,24,4660482
Delon Wright,Toronto Raptors,55,PG,24,1509360
Leandro Barbosa,Golden State Warriors,19,SG,33,2500000
Harrison Barnes,Golden State Warriors,40,SF,24,3873398
Andrew Bogut,Golden State Warriors,12,C,31,13800000
Ian Clark,Golden State Warriors,21,SG,25,947276
Stephen Curry,Golden State Warriors,30,PG,28,11370786
Festus Ezeli,Golden State Warriors,31,C,26,2008748
Draymond Green,Golden State Warriors,23,PF,26,14260870
Andre Iguodala,Golden State Warriors,9,SF,32,11710456
Shaun Livingston,Golden State Warriors,34,PG,30,5543725
Kevon Looney,Golden State Warriors,36,SF,20,1131960
James Michael McAdoo,Golden State Warriors,20,SF,23,845059
Brandon Rush,Golden State Warriors,4,SF,30,1270964
Marreese Speights,Golden State Warriors,5,C,28,3815000
Klay Thompson,Golden State Warriors,11,SG,26,15501000
Anderson Varejao,Golden State Warriors,18,PF,33,289755
Cole Aldrich,Los Angeles Clippers,45,C,27,1100602
Jeff Ayres,Los Angeles Clippers,19,PF,29,111444
Jamal Crawford,Los Angeles Clippers,11,SG,36,5675000
Branden Dawson,Los Angeles Clippers,22,SF,23,525093
Jeff Green,Los Angeles Clippers,8,SF,29,9650000
Blake Griffin,Los Angeles Clippers,32,PF,27,18907726
Wesley Johnson,Los Angeles Clippers,33,SF,28,1100602
DeAndre Jordan,Los Angeles Clippers,6,C,27,19689000
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,947276
Chris Paul,Los Angeles Clippers,3,PG,31,21468695
Paul Pierce,Los Angeles Clippers,34,SF,38,3376000
Pablo Prigioni,Los Angeles Clippers,9,PG,39,947726
JJ Redick,Los Angeles Clippers,4,SG,31,7085000
Austin Rivers,Los Angeles Clippers,25,PG,23,3110796
C.J. Wilcox,Los Angeles Clippers,30,SG,25,1159680
Brandon Bass,Los Angeles Lakers,2,PF,31,3000000
